code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
1,a,b,g,x,x,noun,modal,y,bag,fresh,of
2,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
3,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
4,a,b,g,x,x,noun,modal,y,bag,fresh,of
5,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
6,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
7,a,b,g,x,x,noun,modal,y,bag,fresh,of
8,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
9,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
10,a,b,g,x,x,noun,modal,y,bag,fresh,of
11,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
12,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
13,a,b,g,x,x,noun,modal,y,bag,fresh,of
14,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
15,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
16,a,b,g,x,x,noun,modal,y,bag,fresh,of
17,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
18,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
19,a,b,g,x,x,noun,modal,y,bag,fresh,of
20,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
21,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
22,a,b,g,x,x,noun,modal,y,bag,fresh,of
23,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
24,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
25,a,b,g,x,x,noun,modal,y,bag,fresh,of
26,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
27,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
28,a,b,g,x,x,noun,modal,y,bag,fresh,of
29,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
30,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
31,a,b,g,x,x,noun,modal,y,bag,fresh,of
32,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
33,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
34,a,b,g,x,x,noun,modal,y,bag,fresh,of
35,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
36,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
37,a,b,g,x,x,noun,modal,y,bag,fresh,of
38,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
39,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
40,a,b,g,x,x,noun,modal,y,bag,fresh,of
41,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
42,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
43,a,b,g,x,x,noun,modal,y,bag,fresh,of
44,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
45,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
46,a,b,g,x,x,noun,modal,y,bag,fresh,of
47,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
48,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
49,a,b,g,x,x,noun,modal,y,bag,fresh,of
50,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
51,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
52,a,b,g,x,x,noun,modal,y,bag,fresh,of
53,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
54,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
55,a,b,g,x,x,noun,modal,y,bag,fresh,of
56,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
57,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
58,a,b,g,x,x,noun,modal,y,bag,fresh,of
59,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
60,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
61,a,b,g,x,x,noun,modal,y,bag,fresh,of
